<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:48c50744b7e9e6d6c9ac1df18c71b5ee3e1b81ee966988d380955846b56bc2b9
size 34492
=======
DATE,PRICE
2016-01-01,3000.0
2016-01-02,2800.0
2016-01-03,2600.0
2016-01-04,2600.0
2016-01-05,2400.0
2016-01-06,2800.0
2016-01-07,3000.0
2016-01-08,3000.0
2016-01-09,3000.0
2016-01-10,3000.0
2016-01-11,2900.0
2016-01-12,2800.0
2016-01-13,3000.0
2016-01-14,2800.0
2016-01-15,2600.0
2016-01-16,2500.0
2016-01-17,2400.0
2016-01-18,2200.0
2016-01-19,2200.0
2016-01-20,2200.0
2016-01-21,2400.0
2016-01-22,2400.0
2016-01-23,2400.0
2016-01-24,2400.0
2016-01-25,2400.0
2016-01-26,2474.970607921091
2016-01-27,2600.0
2016-01-28,2800.0
2016-01-29,2900.0
2016-01-30,2800.0
2016-01-31,2800.0
2016-02-01,2700.0
2016-02-02,2800.0
2016-02-03,2700.0
2016-02-04,2600.0
2016-02-05,2600.0
2016-02-06,2500.0
2016-02-07,2600.0
2016-02-08,2600.0
2016-02-09,2700.0
2016-02-10,2600.0
2016-02-11,2600.0
2016-02-12,2400.0
2016-02-13,2200.0
2016-02-14,2200.0
2016-02-15,2200.0
2016-02-16,2000.0
2016-02-17,2100.0
2016-02-18,1900.0
2016-02-19,1700.0
2016-02-20,1700.0
2016-02-21,1800.0
2016-02-22,1800.0
2016-02-23,1800.0
2016-02-24,1800.0
2016-02-25,1700.0
2016-02-26,1700.0
2016-02-27,1500.0
2016-02-28,1500.0
2016-02-29,1600.0
2016-03-01,1700.0
2016-03-02,1700.0
2016-03-03,1800.0
2016-03-04,1800.0
2016-03-05,1700.0
2016-03-06,1800.0
2016-03-07,2000.0
2016-03-08,2100.0
2016-03-09,2000.0
2016-03-10,2100.0
2016-03-11,2200.0
2016-03-12,2200.0
2016-03-13,2200.0
2016-03-14,2300.0
2016-03-15,2100.0
2016-03-16,2200.0
2016-03-17,2100.0
2016-03-18,2000.0
2016-03-19,1800.0
2016-03-20,1900.0
2016-03-21,1800.0
2016-03-22,2000.0
2016-03-23,2200.0
2016-03-24,2200.0
2016-03-25,2200.0
2016-03-26,2200.0
2016-03-27,2200.0
2016-03-28,2200.0
2016-03-29,2000.0
2016-03-30,2000.0
2016-03-31,2000.0
2016-04-01,2000.0
2016-04-02,2000.0
2016-04-03,1900.0
2016-04-04,1900.0
2016-04-05,1900.0
2016-04-06,1900.0
2016-04-07,1900.0
2016-04-08,1800.0
2016-04-09,1900.0
2016-04-10,2000.0
2016-04-11,2000.0
2016-04-12,2000.0
2016-04-13,2100.0
2016-04-14,2100.0
2016-04-15,2000.0
2016-04-16,1800.0
2016-04-17,1700.0
2016-04-18,1700.0
2016-04-19,1600.0
2016-04-20,1700.0
2016-04-21,1700.0
2016-04-22,1700.0
2016-04-23,1700.0
2016-04-24,1700.0
2016-04-25,1800.0
2016-04-26,1800.0
2016-04-27,1900.0
2016-04-28,1900.0
2016-04-29,1800.0
2016-04-30,1800.0
2016-05-01,1800.0
2016-05-02,1900.0
2016-05-03,1800.0
2016-05-04,1900.0
2016-05-05,1900.0
2016-05-06,2000.0
2016-05-07,1900.0
2016-05-08,1799.9999999999998
2016-05-09,1700.0
2016-05-10,1800.0
2016-05-11,1900.0
2016-05-12,1700.0
2016-05-13,1500.0
2016-05-14,1500.0
2016-05-15,1500.0
2016-05-16,1400.0
2016-05-17,1200.0
2016-05-18,1300.0
2016-05-19,1200.0
2016-05-20,1400.0
2016-05-21,1400.0
2016-05-22,1100.0
2016-05-23,1000.0
2016-05-24,1000.0
2016-05-25,1200.0
2016-05-26,1200.0
2016-05-27,1200.0
2016-05-28,1200.0
2016-05-29,1300.0
2016-05-30,1200.0
2016-05-31,1200.0
2016-06-01,1300.0
2016-06-02,1300.0
2016-06-03,1300.0
2016-06-04,1300.0
2016-06-05,1500.0
2016-06-06,1700.0
2016-06-07,1700.0
2016-06-08,1700.0
2016-06-09,1700.0
2016-06-10,1700.0
2016-06-11,1700.0
2016-06-12,1700.0
2016-06-13,1600.0
2016-06-14,1800.0
2016-06-15,1800.0
2016-06-16,1900.0
2016-06-17,1900.0
2016-06-18,1800.0
2016-06-19,1700.0
2016-06-20,1500.0
2016-06-21,1400.0
2016-06-22,1500.0
2016-06-23,1500.0
2016-06-24,1500.0
2016-06-25,1500.0
2016-06-26,1500.0
2016-06-27,1700.0
2016-06-28,1600.0
2016-06-29,1700.0
2016-06-30,1700.0
2016-07-01,1600.0
2016-07-02,1700.0
2016-07-03,1700.0
2016-07-04,1600.0
2016-07-05,1700.0
2016-07-06,1700.0
2016-07-07,1800.0
2016-07-08,1800.0
2016-07-09,1800.0
2016-07-10,1900.0
2016-07-11,1900.0
2016-07-12,2400.0
2016-07-13,2400.0
2016-07-14,2400.0
2016-07-15,2200.0
2016-07-16,2200.0
2016-07-17,2200.0
2016-07-18,2100.0
2016-07-19,2000.0
2016-07-20,1900.0
2016-07-21,1900.0
2016-07-22,1800.0
2016-07-23,1700.0
2016-07-24,1700.0
2016-07-25,1800.0
2016-07-26,1800.0
2016-07-27,1900.0
2016-07-28,1700.0
2016-07-29,1700.0
2016-07-30,1700.0
2016-07-31,1700.0
2016-08-01,1800.0
2016-08-02,1700.0
2016-08-03,1700.0
2016-08-04,1600.0
2016-08-05,1500.0
2016-08-06,1600.0
2016-08-07,1700.0
2016-08-08,1800.0
2016-08-09,1700.0
2016-08-10,1800.0
2016-08-11,1800.0
2016-08-12,1800.0
2016-08-13,1700.0
2016-08-14,1800.0
2016-08-15,1800.0
2016-08-16,1800.0
2016-08-17,1800.0
2016-08-18,1700.0
2016-08-19,1800.0
2016-08-20,1800.0
2016-08-21,1900.0
2016-08-22,1800.0
2016-08-23,1800.0
2016-08-24,1800.0
2016-08-25,1700.0
2016-08-26,1600.0
2016-08-27,1500.0
2016-08-28,1600.0
2016-08-29,1500.0
2016-08-30,1600.0
2016-08-31,1700.0
2016-09-01,1600.0
2016-09-02,1600.0
2016-09-03,1600.0
2016-09-04,1600.0
2016-09-05,1800.0
2016-09-06,1800.0
2016-09-07,1800.0
2016-09-08,1900.0
2016-09-09,1800.0
2016-09-10,1900.0
2016-09-11,1900.0
2016-09-12,1800.0
2016-09-13,1800.0
2016-09-14,1800.0
2016-09-15,1800.0
2016-09-16,1800.0
2016-09-17,1800.0
2016-09-18,1800.0
2016-09-19,1900.0
2016-09-20,1900.0
2016-09-21,1900.0
2016-09-22,1900.0
2016-09-23,1800.0
2016-09-24,1600.0
2016-09-25,1500.0
2016-09-26,1700.0
2016-09-27,1600.0
2016-09-28,1700.0
2016-09-29,1800.0
2016-09-30,1800.0
2016-10-01,1700.0
2016-10-02,1600.0
2016-10-03,1500.0
2016-10-04,1500.0
2016-10-05,1500.0
2016-10-06,1400.0
2016-10-07,1400.0
2016-10-08,1300.0
2016-10-09,1400.0
2016-10-10,1300.0
2016-10-11,1400.0
2016-10-12,1400.0
2016-10-13,1500.0
2016-10-14,1600.0
2016-10-15,1600.0
2016-10-16,1500.0
2016-10-17,1500.0
2016-10-18,1500.0
2016-10-19,1600.0
2016-10-20,1500.0
2016-10-21,1600.0
2016-10-22,1600.0
2016-10-23,1700.0
2016-10-24,1600.0
2016-10-25,1500.0
2016-10-26,1600.0
2016-10-27,1600.0
2016-10-28,1500.0
2016-10-29,1400.0
2016-10-30,1500.0
2016-10-31,1600.0
2016-11-01,1700.0
2016-11-02,1700.0
2016-11-03,1800.0
2016-11-04,1700.0
2016-11-05,1800.0
2016-11-06,1700.0
2016-11-07,1700.0
2016-11-08,1700.0
2016-11-09,1800.0
2016-11-10,1800.0
2016-11-11,1700.0
2016-11-12,1700.0
2016-11-13,1600.0
2016-11-14,1700.0
2016-11-15,1700.0
2016-11-16,1600.0
2016-11-17,1600.0
2016-11-18,1500.0
2016-11-19,1500.0
2016-11-20,1500.0
2016-11-21,1500.0
2016-11-22,1500.0
2016-11-23,1500.0
2016-11-24,1600.0
2016-11-25,1600.0
2016-11-26,1700.0
2016-11-27,1700.0
2016-11-28,1700.0
2016-11-29,1600.0
2016-11-30,1700.0
2016-12-01,1700.0
2016-12-02,1700.0
2016-12-03,1600.0
2016-12-04,1700.0
2016-12-05,1700.0
2016-12-06,1700.0
2016-12-07,1800.0
2016-12-08,1700.0
2016-12-09,1700.0
2016-12-10,1800.0
2016-12-11,1900.0
2016-12-12,1800.0
2016-12-13,1700.0
2016-12-14,1700.0
2016-12-15,1800.0
2016-12-16,1700.0
2016-12-17,1700.0
2016-12-18,1500.0
2016-12-19,1400.0
2016-12-20,1400.0
