<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:1f570a314a2a9e212b1e18259b20a3585e118a16d1337d0ace293a80bcf3d6b3
size 16109
=======
STARTDATE,ENDDATE,MEDIAN,MAD,VALUE,TYPE
2016-01-01,2016-02-13,,,,
2016-01-08,2016-02-20,,,,
2016-01-15,2016-02-27,,,,
2016-01-22,2016-03-05,,,,
2016-01-29,2016-03-12,,,,
2016-02-05,2016-03-19,,,,
2016-02-12,2016-03-26,,,,
2016-02-19,2016-04-02,,,,
2016-02-26,2016-04-09,,,,
2016-03-04,2016-04-16,,,,
2016-03-11,2016-04-23,,,,
2016-03-18,2016-04-30,,,,
2016-03-25,2016-05-07,,,,
2016-04-01,2016-05-14,,,,
2016-04-08,2016-05-21,,,,
2016-04-15,2016-05-28,,,,
2016-04-22,2016-06-04,,,,
2016-04-29,2016-06-11,,,,
2016-05-06,2016-06-18,,,,
2016-05-13,2016-06-25,,,,
2016-05-20,2016-07-02,,,,
2016-05-27,2016-07-09,,,,
2016-06-03,2016-07-16,,,,
2016-06-10,2016-07-23,,,,
2016-06-17,2016-07-30,,,,
2016-06-24,2016-08-06,,,,
2016-07-01,2016-08-13,,,,
2016-07-08,2016-08-20,,,,
2016-07-15,2016-08-27,,,,
2016-07-22,2016-09-03,,,,
2016-07-29,2016-09-10,,,,
2016-08-05,2016-09-17,,,,
2016-08-12,2016-09-24,,,,
2016-08-19,2016-10-01,,,,
2016-08-26,2016-10-08,,,,
2016-09-02,2016-10-15,,,,
2016-09-09,2016-10-22,,,,
2016-09-16,2016-10-29,,,,
2016-09-23,2016-11-05,,,,
2016-09-30,2016-11-12,,,,
2016-10-07,2016-11-19,,,,
2016-10-14,2016-11-26,,,,
2016-10-21,2016-12-03,,,,
2016-10-28,2016-12-10,,,,
2016-11-04,2016-12-17,,,,
2016-11-11,2016-12-24,,,,
2016-11-18,2016-12-31,,,,
2016-11-25,2017-01-07,,,,
2016-12-02,2017-01-14,,,,
2016-12-09,2017-01-21,,,,
2016-12-16,2017-01-28,,,,
2016-12-23,2017-02-04,,,,
2016-12-30,2017-02-11,,,,
2017-01-01,2017-02-13,10500.0,662.4921875,11000.0,Normal
2017-01-08,2017-02-20,10500.0,594.4140625,11000.0,Normal
2017-01-15,2017-02-27,10500.0,568.6328125015626,11000.0,Normal
2017-01-22,2017-03-06,10250.0,582.4630489870074,11000.0,Normal
2017-01-29,2017-03-13,10250.0,527.6117085386086,11000.0,Normal
2017-02-05,2017-03-20,10000.0,455.2734375,11000.0,Anomaly
2017-02-12,2017-03-27,10000.0,446.8242188425289,11000.0,Anomaly
2017-02-19,2017-04-03,10000.0,471.09862298824225,10500.0,Normal
2017-02-26,2017-04-10,9650.0,591.75,10500.0,Normal
2017-03-05,2017-04-17,9650.0,588.4507619711366,10000.0,Normal
2017-03-12,2017-04-24,9550.0,497.4167337732674,10000.0,Normal
2017-03-19,2017-05-01,9550.0,493.47497229025623,10000.0,Normal
2017-03-26,2017-05-08,9550.0,499.9385854718048,10000.0,Normal
