<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:6da234b6c225ee285496dde85760acbecf6c62ae4b681de15f4ac40e9ac798b1
size 953
=======
,STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME,TYPE
0,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.2571428571428571,WEST BENGAL,PURULIA,Anomaly
1,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,WEST BENGAL,MALDA,Normal
2,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,MADHYA PRADESH,REWA,Normal
3,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,MADHYA PRADESH,JABALPUR,Normal
4,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,WEST BENGAL,KOLKATA,Normal
5,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,MADHYA PRADESH,INDORE,Normal
6,2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.0,WEST BENGAL,KHARAGPUR,Anomaly
7,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,MADHYA PRADESH,SAGAR,Normal
8,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,MADHYA PRADESH,BHOPAL,Normal
9,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,WEST BENGAL,RAIGANJ,Normal
10,2020-09-06,2020-10-19,Normal,Normal,Normal,1.0,MADHYA PRADESH,GWALIOR,Normal
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
