<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:1af997bae4eb7a8f73e7214ae1ed22511066c888614324bf5ad974ec43ed7231
size 9309
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,18,19,23,75,76,78,62,65,41,48,122,85,75,80,95,66,32,200,18,5,10,10
ALLAHABAD,20,18,20,68,63,80,70,80,42,40,156,105,78,90,114,70,38,190,15,14,10,15
AMRITSAR,28,22,26,115,105,108,75,82,42,43,135,102,78,85,99,NR,40,185,18,14,13,26
BATHINDA,27,19,24,100,115,105,72,75,43,44,170,104,94,93,115,NR,45,210,18,6,15,16
CHANDIGARH,28,22,24,94,80,74,64,62,40,44,128,105,75,86,95,NR,36,225,18,9,15,15
DEHRADUN,23,22,26,75,123,126,118,88,41,40,138,100,75,87,105,NR,34,230,17,11,15,17
DELHI,32,22,24,89,89,99,79,84,42,39,171,122,88,99,106,79,45,223,18,13,20,24
DHARAMSHALA,30,NR,25,90,95,90,80,80,44,40,120,130,85,85,90,75,40,180,18,10,15,20
GORAKHPUR,19,20,23,74,70,77,75,66,44,42,NR,110,63,80,115,70,38,180,20,8,15,10
GURGAON,40,21,22,95,120,90,58,80,41,40,95,90,74,92,94,70,38,180,18,10,13,15
HALDWANI,23,22,24,75,129,124,117,93,42,40,138,100,75,87,105,NR,34,230,17,10,14,17
HARIDWAR,23,22,25,76,129,127,117,93,42,40,135,100,75,82,108,NR,34,210,17,11,13,18
HISAR,34,22,24,80,100,90,65,75,39,40,120,109,74,93,87,70,35,180,18,10,15,20
JAMMU,31,22,25,100,90,98,74,78,47,40,NR,125,92,125,114,110,44,240,18,10,18,20
JHANSI,25,20,24,90,80,85,75,80,39,50,NR,90,70,80,NR,NR,30,160,16,8,10,8
KANPUR,22,20,24,84,84,84,65,65,45,50,150,110,75,90,110,75,38,190,14,6,12,10
KARNAL,26,22,25,100,112,98,82,88,41,42,155,104,85,90,94,75,38,200,20,12,15,10
LUCKNOW,23,18,21,80,65,100,75,70,42,50,120,100,73,90,95,75,43,230,18,10,18,11
LUDHIANA,30,19,28,130,115,130,85,116,42,45,175,126,80,86,104,71,52,220,18,20,15,30
MANDI,30,NR,28,NR,NR,85,67,NR,43,28,NR,137,76,80,NR,NR,36,180,17,7,15,NR
MEERUT,30,21,24,82,76,78,75,80,42,50,NR,95,90,NR,NR,NR,36,200,18,7,12,12
PANCHKULA,27,23,28,87,120,105,85,85,42,44,145,110,78,84,100,76,42,200,18,10,15,12
RUDRAPUR,22,22,24,74,130,125,113,93,41,40,130,94,77,85,105,NR,36,220,17,10,12,16
SHIMLA,30,NR,26,93,86,92,70,66,43,30,157,139,87,87,NR,NR,38,180,17,8,17,17
