<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:86734e1c1c49706ba010aed2d654f57c245e56d83e2dd7d8617bf649c77ff2ca
size 572
=======
MANDINAME,DATE,ARRIVAL,MIN,MAX,PRICE
AZADPUR,01/12/2021,1338.7,,,
AZADPUR,02/12/2021,1335.0,,,
AZADPUR,03/12/2021,1183.0,,,
AZADPUR,04/12/2021,1311.0,400.0,1600.0,814.0
AZADPUR,06/12/2021,400.3,400.0,1600.0,814.0
AZADPUR,07/12/2021,1787.5,400.0,1600.0,814.0
SHAHDARA,01/12/2021,425.15,1400.0,1600.0,1500.0
SHAHDARA,,,600.0,900.0,800.0
SHAHDARA,02/12/2021,522.7,1400.0,1600.0,1500.0
SHAHDARA,03/12/2021,705.85,1200.0,1600.0,1400.0
SHAHDARA,04/12/2021,567.95,800.0,1000.0,900.0
SHAHDARA,05/12/2021,596.95,1200.0,1400.0,1300.0
SHAHDARA,06/12/2021,679.65,1200.0,1600.0,1400.0
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
