<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:7e53e9ba0a618e0a303cd044d522aa64253853998fc10b262d3583fafba75759
size 60541
=======
DATE,PRICE
2016-01-01,6700.0
2016-01-02,6700.0
2016-01-03,6700.0
2016-01-04,6700.0
2016-01-05,6700.0
2016-01-06,6700.0
2016-01-07,6700.0
2016-01-08,6700.0
2016-01-09,6700.0
2016-01-10,6700.0
2016-01-11,6700.0
2016-01-12,6700.0
2016-01-13,6700.0
2016-01-14,6700.0
2016-01-15,6700.0
2016-01-16,6700.0
2016-01-17,6700.0
2016-01-18,6700.0
2016-01-19,6700.0
2016-01-20,6700.0
2016-01-21,6700.0
2016-01-22,6700.0
2016-01-23,6700.0
2016-01-24,6700.0
2016-01-25,6700.0
2016-01-26,6700.0
2016-01-27,6700.0
2016-01-28,6700.0
2016-01-29,6700.0
2016-01-30,6700.0
2016-01-31,6700.0
2016-02-01,6700.0
2016-02-02,6700.0
2016-02-03,6700.0
2016-02-04,6700.0
2016-02-05,6700.0
2016-02-06,6700.0
2016-02-07,6700.0
2016-02-08,6700.0
2016-02-09,6700.0
2016-02-10,6700.0
2016-02-11,6700.0
2016-02-12,6700.0
2016-02-13,6700.0
2016-02-14,6700.0
2016-02-15,6700.0
2016-02-16,6700.0
2016-02-17,6700.0
2016-02-18,6700.0
2016-02-19,6700.0
2016-02-20,6700.0
2016-02-21,6700.0
2016-02-22,6700.0
2016-02-23,6700.0
2016-02-24,6700.0
2016-02-25,6700.0
2016-02-26,6700.0
2016-02-27,6700.0
2016-02-28,6700.0
2016-02-29,6700.0
2016-03-01,6700.0
2016-03-02,6700.0
2016-03-03,6700.0
2016-03-04,6700.0
2016-03-05,6700.0
2016-03-06,6700.0
2016-03-07,6700.0
2016-03-08,6700.0
2016-03-09,6700.0
2016-03-10,6700.0
2016-03-11,6700.0
2016-03-12,6700.0
2016-03-13,6700.0
2016-03-14,6700.0
2016-03-15,6700.0
2016-03-16,6700.0
2016-03-17,6700.0
2016-03-18,6700.0
2016-03-19,6700.0
2016-03-20,6700.0
2016-03-21,6700.0
2016-03-22,6700.0
2016-03-23,6700.0
2016-03-24,6700.0
2016-03-25,6700.0
2016-03-26,6700.0
2016-03-27,6700.0
2016-03-28,6700.0
2016-03-29,6700.0
2016-03-30,6700.0
2016-03-31,6700.0
2016-04-01,6700.0
2016-04-02,6700.0
2016-04-03,6700.0
2016-04-04,6700.0
2016-04-05,6700.0
2016-04-06,6700.0
2016-04-07,6700.0
2016-04-08,6700.0
2016-04-09,6700.0
2016-04-10,6700.0
2016-04-11,6700.0
2016-04-12,6700.0
2016-04-13,6700.0
2016-04-14,6700.0
2016-04-15,6700.0
2016-04-16,6700.0
2016-04-17,6700.0
2016-04-18,6700.0
2016-04-19,6700.0
2016-04-20,6700.0
2016-04-21,6700.0
2016-04-22,6700.0
2016-04-23,6700.0
2016-04-24,6700.0
2016-04-25,6700.0
2016-04-26,6700.0
2016-04-27,6700.0
2016-04-28,6700.0
2016-04-29,6700.0
2016-04-30,6700.0
2016-05-01,6700.0
2016-05-02,6700.0
2016-05-03,6700.0
2016-05-04,6700.0
2016-05-05,6700.0
2016-05-06,6700.0
2016-05-07,6700.0
2016-05-08,6700.0
2016-05-09,6700.0
2016-05-10,6700.0
2016-05-11,6700.0
2016-05-12,6700.0
2016-05-13,6700.0
2016-05-14,6700.0
2016-05-15,6700.0
2016-05-16,6700.0
2016-05-17,6700.0
2016-05-18,6700.0
2016-05-19,6700.0
2016-05-20,6700.0
2016-05-21,6700.0
2016-05-22,6700.0
2016-05-23,6700.0
2016-05-24,6700.0
2016-05-25,6700.0
2016-05-26,6700.0
2016-05-27,6700.0
2016-05-28,6700.0
2016-05-29,6700.0
2016-05-30,6700.0
2016-05-31,6700.0
2016-06-01,6700.0
2016-06-02,6700.0
2016-06-03,6700.0
2016-06-04,6700.0
2016-06-05,6700.0
2016-06-06,6700.0
2016-06-07,6700.0
2016-06-08,6700.0
2016-06-09,6700.0
2016-06-10,6700.0
2016-06-11,6700.0
2016-06-12,6700.0
2016-06-13,6700.0
2016-06-14,6700.0
2016-06-15,6700.0
2016-06-16,6700.0
2016-06-17,6700.0
2016-06-18,6700.0
2016-06-19,6700.0
2016-06-20,6700.0
2016-06-21,6700.0
2016-06-22,6700.0
2016-06-23,6700.0
2016-06-24,6700.0
2016-06-25,6700.0
2016-06-26,6700.0
2016-06-27,6700.0
2016-06-28,6700.0
2016-06-29,6700.0
2016-06-30,6700.0
2016-07-01,6700.0
2016-07-02,6700.0
2016-07-03,6700.0
2016-07-04,6700.0
2016-07-05,6700.0
2016-07-06,6700.0
2016-07-07,6700.0
2016-07-08,6700.0
2016-07-09,6700.0
2016-07-10,6700.0
2016-07-11,6700.0
2016-07-12,6700.0
2016-07-13,6700.0
2016-07-14,6700.0
2016-07-15,6700.0
2016-07-16,6700.0
2016-07-17,6700.0
2016-07-18,6700.0
2016-07-19,6700.0
2016-07-20,6700.0
2016-07-21,6700.0
2016-07-22,6700.0
2016-07-23,6700.0
2016-07-24,6700.0
2016-07-25,6700.0
2016-07-26,6700.0
2016-07-27,6700.0
2016-07-28,6700.0
2016-07-29,6700.0
2016-07-30,6700.0
2016-07-31,6700.0
2016-08-01,6700.0
2016-08-02,6700.0
2016-08-03,6700.0
2016-08-04,6700.0
2016-08-05,6700.0
2016-08-06,6700.0
2016-08-07,6700.0
2016-08-08,6700.0
2016-08-09,6700.0
2016-08-10,6700.0
2016-08-11,6700.0
2016-08-12,6700.0
2016-08-13,6700.0
2016-08-14,6700.0
2016-08-15,6700.0
2016-08-16,6700.0
2016-08-17,6700.0
2016-08-18,6700.0
2016-08-19,6700.0
2016-08-20,6700.0
2016-08-21,6700.0
2016-08-22,6700.0
2016-08-23,6700.0
2016-08-24,6700.0
2016-08-25,6700.0
2016-08-26,6700.0
2016-08-27,6700.0
2016-08-28,6700.0
2016-08-29,6700.0
2016-08-30,6700.0
2016-08-31,6700.0
2016-09-01,6700.0
2016-09-02,6700.0
2016-09-03,6700.0
2016-09-04,6700.0
2016-09-05,6700.0
2016-09-06,6700.0
2016-09-07,6700.0
