<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b663dafbb6b65d1269397fa7a17f1435c12178d5499e711c639ae4c5d6b195df
size 35580
=======
DATE,ARRIVAL
2016-01-01,171.0
2016-01-02,159.34878112511896
2016-01-03,145.0
2016-01-04,52.0
2016-01-05,145.0
2016-01-06,169.0
2016-01-07,169.0
2016-01-08,214.0
2016-01-09,180.5
2016-01-10,147.0
2016-01-11,284.0
2016-01-12,133.0
2016-01-13,189.0
2016-01-14,137.0
2016-01-15,147.0
2016-01-16,186.9418820736577
2016-01-17,257.36102506228224
2016-01-18,296.0
2016-01-19,175.0
2016-01-20,196.0
2016-01-21,134.0
2016-01-22,203.0
2016-01-23,229.27560096607274
2016-01-24,244.0
2016-01-25,230.0
2016-01-26,228.0
2016-01-27,226.0
2016-01-28,201.0
2016-01-29,171.0
2016-01-30,171.49094925493696
2016-01-31,172.0
2016-02-01,211.0
2016-02-02,132.0
2016-02-03,195.0
2016-02-04,174.0
2016-02-05,200.0
2016-02-06,217.71377301632495
2016-02-07,229.0
2016-02-08,191.0
2016-02-09,183.0
2016-02-10,200.0
2016-02-11,205.2708186929023
2016-02-12,209.0
2016-02-13,212.98648174157302
2016-02-14,218.0
2016-02-15,281.0
2016-02-16,170.0
2016-02-17,191.0
2016-02-18,153.0
2016-02-19,191.0
2016-02-20,197.5
2016-02-21,204.0
2016-02-22,232.0
2016-02-23,134.0
2016-02-24,200.0
2016-02-25,170.0
2016-02-26,201.0
2016-02-27,196.5
2016-02-28,192.0
2016-02-29,274.0
2016-03-01,151.0
2016-03-02,188.0
2016-03-03,213.1146883066489
2016-03-04,230.0
2016-03-05,238.03772042829945
2016-03-06,245.0
2016-03-07,171.0
2016-03-08,97.0
2016-03-09,169.0
2016-03-10,171.0
2016-03-11,249.0
2016-03-12,210.5
2016-03-13,172.0
2016-03-14,220.0
2016-03-15,171.0
2016-03-16,192.0
2016-03-17,182.0
2016-03-18,272.0
2016-03-19,281.76799258032383
2016-03-20,289.0
2016-03-21,280.0
2016-03-22,140.0
2016-03-23,207.0
2016-03-24,209.66105089506684
2016-03-25,212.0
2016-03-26,214.23988305503
2016-03-27,217.0
2016-03-28,238.0
2016-03-29,176.0
2016-03-30,185.0
