<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:dd907970a463747018c2f3ad347bcc77d60825dc5b7ee1252e887e551f98b6b7
size 42582
=======
DATE,PRICE
2016-01-01,3000.0
2016-01-02,3000.0
2016-01-03,3000.0
2016-01-04,3000.0
2016-01-05,3000.0
2016-01-06,3000.0
2016-01-07,3000.0
2016-01-08,3000.0
2016-01-09,3000.0
2016-01-10,3000.0
2016-01-11,3000.0
2016-01-12,3000.0
2016-01-13,3000.0
2016-01-14,2900.0
2016-01-15,2900.0
2016-01-16,2900.0
2016-01-17,2900.0
2016-01-18,2900.0
2016-01-19,2900.0
2016-01-20,2900.0
2016-01-21,2900.0
2016-01-22,2900.0
2016-01-23,2900.0
2016-01-24,2900.0
2016-01-25,2900.0
2016-01-26,2900.0
2016-01-27,2900.0
2016-01-28,2900.0
2016-01-29,2900.0
2016-01-30,2900.0
2016-01-31,2900.0
2016-02-01,2900.0
2016-02-02,2900.0
2016-02-03,2900.0
2016-02-04,2900.0
2016-02-05,2900.0
2016-02-06,2900.0
2016-02-07,2900.0
2016-02-08,2900.0
2016-02-09,2900.0
2016-02-10,2900.0
2016-02-11,2900.0
2016-02-12,2900.0
2016-02-13,2900.0
2016-02-14,2900.0
2016-02-15,2900.0
2016-02-16,2900.0
2016-02-17,2900.0
2016-02-18,2900.0
2016-02-19,2900.0
2016-02-20,2900.0
2016-02-21,2900.0
2016-02-22,2900.0
2016-02-23,2900.0
2016-02-24,2900.0
2016-02-25,2900.0
2016-02-26,2900.0
2016-02-27,2900.0
2016-02-28,2900.0
2016-02-29,2900.0
2016-03-01,2900.0
2016-03-02,2900.0
2016-03-03,2900.0
2016-03-04,2900.0
2016-03-05,2900.0
2016-03-06,2900.0
2016-03-07,2800.0
2016-03-08,2800.0
2016-03-09,2800.0
2016-03-10,2800.0
2016-03-11,2800.0
2016-03-12,2800.0
2016-03-13,2800.0
2016-03-14,2800.0
2016-03-15,2800.0
2016-03-16,2800.0
2016-03-17,2800.0
2016-03-18,2800.0
2016-03-19,2800.0
2016-03-20,2800.0
2016-03-21,2800.0
2016-03-22,2800.0
2016-03-23,2800.0
2016-03-24,2800.0
2016-03-25,2800.0
2016-03-26,2800.0
2016-03-27,2800.0
2016-03-28,2800.0
2016-03-29,2800.0
2016-03-30,2800.0
2016-03-31,2800.0
2016-04-01,2800.0
2016-04-02,2800.0
2016-04-03,2800.0
2016-04-04,2800.0
2016-04-05,2800.0
2016-04-06,2800.0
2016-04-07,2800.0
2016-04-08,2800.0
2016-04-09,2800.0
2016-04-10,2800.0
2016-04-11,2800.0
2016-04-12,2800.0
2016-04-13,2800.0
2016-04-14,2800.0
2016-04-15,2800.0
2016-04-16,2800.0
2016-04-17,2800.0
2016-04-18,2800.0
2016-04-19,2800.0
2016-04-20,2800.0
2016-04-21,2800.0
2016-04-22,2800.0
2016-04-23,2800.0
2016-04-24,2800.0
2016-04-25,2800.0
2016-04-26,2800.0
2016-04-27,2800.0
2016-04-28,2800.0
2016-04-29,2800.0
2016-04-30,2800.0
2016-05-01,2800.0
2016-05-02,2800.0
2016-05-03,2800.0
2016-05-04,2800.0
2016-05-05,2800.0
2016-05-06,2800.0
2016-05-07,2800.0
2016-05-08,2800.0
2016-05-09,2800.0
2016-05-10,2800.0
2016-05-11,2800.0
2016-05-12,2800.0
2016-05-13,2800.0
2016-05-14,2800.0
2016-05-15,2800.0
2016-05-16,2800.0
2016-05-17,2800.0
2016-05-18,2800.0
2016-05-19,2800.0
2016-05-20,2800.0
2016-05-21,2800.0
2016-05-22,2800.0
2016-05-23,2800.0
2016-05-24,2800.0
2016-05-25,2800.0
2016-05-26,2800.0
2016-05-27,2800.0
2016-05-28,2800.0
2016-05-29,2800.0
2016-05-30,2800.0
2016-05-31,2800.0
2016-06-01,2800.0
2016-06-02,2800.0
2016-06-03,2800.0
2016-06-04,2800.0
2016-06-05,2800.0
2016-06-06,2800.0
2016-06-07,2800.0
2016-06-08,2800.0
2016-06-09,2800.0
2016-06-10,2800.0
2016-06-11,2800.0
2016-06-12,2800.0
2016-06-13,2800.0
2016-06-14,2800.0
2016-06-15,2800.0
2016-06-16,2800.0
2016-06-17,2800.0
2016-06-18,2800.0
2016-06-19,2800.0
2016-06-20,2800.0
2016-06-21,2800.0
2016-06-22,2800.0
2016-06-23,2800.0
2016-06-24,2800.0
2016-06-25,2800.0
2016-06-26,2800.0
2016-06-27,2800.0
2016-06-28,2800.0
2016-06-29,2800.0
2016-06-30,2800.0
2016-07-01,2800.0
2016-07-02,2800.0
2016-07-03,2800.0
2016-07-04,2800.0
2016-07-05,2800.0
2016-07-06,2800.0
2016-07-07,2800.0
2016-07-08,2800.0
2016-07-09,2800.0
2016-07-10,2800.0
2016-07-11,2800.0
2016-07-12,2800.0
2016-07-13,2800.0
2016-07-14,2800.0
2016-07-15,2800.0
2016-07-16,2800.0
2016-07-17,2800.0
2016-07-18,2800.0
2016-07-19,2800.0
2016-07-20,2800.0
2016-07-21,2800.0
2016-07-22,2800.0
2016-07-23,2800.0
2016-07-24,2800.0
2016-07-25,2800.0
2016-07-26,2800.0
2016-07-27,2800.0
2016-07-28,2800.0
2016-07-29,2800.0
2016-07-30,2800.0
2016-07-31,2800.0
2016-08-01,2800.0
2016-08-02,2800.0
2016-08-03,2800.0
2016-08-04,2800.0
2016-08-05,2800.0
2016-08-06,2800.0
2016-08-07,2800.0
2016-08-08,2800.0
2016-08-09,2800.0
2016-08-10,2800.0
2016-08-11,2800.0
2016-08-12,2800.0
2016-08-13,2800.0
2016-08-14,2800.0
2016-08-15,2800.0
2016-08-16,2800.0
2016-08-17,2800.0
2016-08-18,2800.0
2016-08-19,2800.0
2016-08-20,2800.0
2016-08-21,2800.0
2016-08-22,2800.0
2016-08-23,2800.0
2016-08-24,2800.0
2016-08-25,2800.0
2016-08-26,2800.0
2016-08-27,2800.0
2016-08-28,2800.0
2016-08-29,2800.0
2016-08-30,2800.0
2016-08-31,2800.0
2016-09-01,2800.0
2016-09-02,2800.0
2016-09-03,2800.0
2016-09-04,2800.0
2016-09-05,2800.0
2016-09-06,2800.0
2016-09-07,2800.0
2016-09-08,2800.0
2016-09-09,2800.0
2016-09-10,2800.0
2016-09-11,2800.0
2016-09-12,2800.0
2016-09-13,2800.0
2016-09-14,2800.0
2016-09-15,2800.0
2016-09-16,2800.0
2016-09-17,2800.0
2016-09-18,2800.0
2016-09-19,2800.0
2016-09-20,2800.0
2016-09-21,2800.0
2016-09-22,2800.0
2016-09-23,2800.0
2016-09-24,2800.0
2016-09-25,2800.0
2016-09-26,2800.0
2016-09-27,2800.0
2016-09-28,2800.0
2016-09-29,2800.0
2016-09-30,2800.0
2016-10-01,2800.0
2016-10-02,2800.0
2016-10-03,2800.0
2016-10-04,2800.0
2016-10-05,2800.0
2016-10-06,2800.0
2016-10-07,2800.0
2016-10-08,2800.0
2016-10-09,2800.0
2016-10-10,2800.0
2016-10-11,2800.0
2016-10-12,2800.0
2016-10-13,2800.0
2016-10-14,2800.0
2016-10-15,2800.0
2016-10-16,2800.0
2016-10-17,2800.0
2016-10-18,2800.0
2016-10-19,2800.0
2016-10-20,2800.0
2016-10-21,2800.0
2016-10-22,2800.0
2016-10-23,2800.0
2016-10-24,2800.0
2016-10-25,2800.0
2016-10-26,2800.0
2016-10-27,2800.0
2016-10-28,2800.0
2016-10-29,2800.0
2016-10-30,2800.0
2016-10-31,2800.0
2016-11-01,2800.0
2016-11-02,2800.0
2016-11-03,2800.0
2016-11-04,2800.0
2016-11-05,2800.0
2016-11-06,2800.0
2016-11-07,2800.0
2016-11-08,2800.0
2016-11-09,2800.0
2016-11-10,2800.0
2016-11-11,2800.0
2016-11-12,2800.0
2016-11-13,2800.0
2016-11-14,2800.0
2016-11-15,2800.0
2016-11-16,2800.0
2016-11-17,2800.0
2016-11-18,2800.0
2016-11-19,2800.0
2016-11-20,2800.0
2016-11-21,2800.0
2016-11-22,2800.0
2016-11-23,2800.0
2016-11-24,2800.0
2016-11-25,2800.0
2016-11-26,2800.0
2016-11-27,2800.0
2016-11-28,2800.0
2016-11-29,2800.0
2016-11-30,2800.0
2016-12-01,2800.0
2016-12-02,2800.0
2016-12-03,2800.0
2016-12-04,2800.0
2016-12-05,2800.0
2016-12-06,2800.0
2016-12-07,2800.0
2016-12-08,2800.0
2016-12-09,2800.0
2016-12-10,2800.0
2016-12-11,2800.0
2016-12-12,2800.0
2016-12-13,2800.0
2016-12-14,2800.0
2016-12-15,2800.0
2016-12-16,2800.0
2016-12-17,2800.0
2016-12-18,2800.0
2016-12-19,2800.0
2016-12-20,2800.0
2016-12-21,2800.0
2016-12-22,2800.0
2016-12-23,2800.0
2016-12-24,2800.0
2016-12-25,2800.0
2016-12-26,2800.0
2016-12-27,2800.0
2016-12-28,2800.0
2016-12-29,2800.0
2016-12-30,2800.0
2016-12-31,2800.0
2017-01-01,2800.0
2017-01-02,2800.0
2017-01-03,2800.0
2017-01-04,2800.0
2017-01-05,2800.0
2017-01-06,2800.0
2017-01-07,2800.0
2017-01-08,2800.0
2017-01-09,2800.0
2017-01-10,2800.0
2017-01-11,2800.0
2017-01-12,2800.0
2017-01-13,2800.0
2017-01-14,2800.0
2017-01-15,2800.0
2017-01-16,2800.0
2017-01-17,2800.0
2017-01-18,2800.0
2017-01-19,2800.0
2017-01-20,2800.0
2017-01-21,2800.0
2017-01-22,2800.0
2017-01-23,2800.0
2017-01-24,2800.0
2017-01-25,2800.0
2017-01-26,2800.0
2017-01-27,2800.0
2017-01-28,2800.0
2017-01-29,2800.0
2017-01-30,2800.0
2017-01-31,2800.0
2017-02-01,2800.0
2017-02-02,2800.0
2017-02-03,2800.0
2017-02-04,2800.0
2017-02-05,2800.0
2017-02-06,2800.0
2017-02-07,2800.0
2017-02-08,2800.0
2017-02-09,2800.0
2017-02-10,2800.0
2017-02-11,2800.0
2017-02-12,2800.0
2017-02-13,2800.0
2017-02-14,2800.0
2017-02-15,2850.0
2017-02-16,2850.0
2017-02-17,2850.0
2017-02-18,2850.0
2017-02-19,2850.0
2017-02-20,2850.0
2017-02-21,2850.0
2017-02-22,2850.0
2017-02-23,2850.0
2017-02-24,2850.0
2017-02-25,2850.0
2017-02-26,2850.0
2017-02-27,2850.0
2017-02-28,2850.0
2017-03-01,2850.0
2017-03-02,2850.0
2017-03-03,2850.0
2017-03-04,2850.0
2017-03-05,2850.0
2017-03-06,2850.0
2017-03-07,2850.0
2017-03-08,2850.0
2017-03-09,2850.0
2017-03-10,2850.0
2017-03-11,2850.0
2017-03-12,2850.0
2017-03-13,2850.0
2017-03-14,2850.0
2017-03-15,2850.0
2017-03-16,2850.0
2017-03-17,2850.0
2017-03-18,2850.0
2017-03-19,2850.0
2017-03-20,2850.0
2017-03-21,2850.0
2017-03-22,2850.0
2017-03-23,2850.0
2017-03-24,2850.0
2017-03-25,2850.0
2017-03-26,2850.0
2017-03-27,2850.0
2017-03-28,2850.0
2017-03-29,2850.0
2017-03-30,2850.0
2017-03-31,2850.0
2017-04-01,2850.0
2017-04-02,2850.0
2017-04-03,2850.0
2017-04-04,2850.0
2017-04-05,2850.0
2017-04-06,2850.0
2017-04-07,2850.0
2017-04-08,2850.0
2017-04-09,2850.0
2017-04-10,2850.0
2017-04-11,2850.0
2017-04-12,2850.0
2017-04-13,2850.0
2017-04-14,2850.0
2017-04-15,2850.0
2017-04-16,2850.0
2017-04-17,2850.0
2017-04-18,2850.0
2017-04-19,2850.0
2017-04-20,2850.0
2017-04-21,2850.0
2017-04-22,2850.0
2017-04-23,2850.0
2017-04-24,2850.0
2017-04-25,2850.0
2017-04-26,2850.0
2017-04-27,2850.0
2017-04-28,2850.0
2017-04-29,2850.0
2017-04-30,2850.0
2017-05-01,2850.0
2017-05-02,2850.0
2017-05-03,2850.0
2017-05-04,2850.0
2017-05-05,2850.0
2017-05-06,2850.0
2017-05-07,2850.0
2017-05-08,2850.0
2017-05-09,2850.0
2017-05-10,2850.0
2017-05-11,2850.0
2017-05-12,2850.0
2017-05-13,2850.0
2017-05-14,2850.0
2017-05-15,2850.0
2017-05-16,2850.0
2017-05-17,2850.0
2017-05-18,2850.0
2017-05-19,2850.0
2017-05-20,2850.0
2017-05-21,2850.0
2017-05-22,2850.0
2017-05-23,2850.0
2017-05-24,2850.0
2017-05-25,2850.0
2017-05-26,2850.0
2017-05-27,2850.0
2017-05-28,2850.0
2017-05-29,2850.0
2017-05-30,2850.0
2017-05-31,2850.0
2017-06-01,2850.0
2017-06-02,2850.0
2017-06-03,2850.0
2017-06-04,2850.0
2017-06-05,2850.0
2017-06-06,2850.0
2017-06-07,2850.0
2017-06-08,2850.0
2017-06-09,2850.0
2017-06-10,2850.0
2017-06-11,2850.0
2017-06-12,2850.0
2017-06-13,2850.0
2017-06-14,2850.0
2017-06-15,2850.0
2017-06-16,2850.0
2017-06-17,2850.0
2017-06-18,2850.0
2017-06-19,2850.0
2017-06-20,2850.0
2017-06-21,2850.0
2017-06-22,2850.0
2017-06-23,2850.0
2017-06-24,2850.0
2017-06-25,2850.0
2017-06-26,2850.0
2017-06-27,2850.0
2017-06-28,2850.0
2017-06-29,2850.0
2017-06-30,2850.0
2017-07-01,2850.0
2017-07-02,2850.0
2017-07-03,2850.0
2017-07-04,2850.0
2017-07-05,2850.0
2017-07-06,2850.0
2017-07-07,2850.0
2017-07-08,2850.0
2017-07-09,2850.0
2017-07-10,2850.0
2017-07-11,2850.0
2017-07-12,2850.0
2017-07-13,2850.0
2017-07-14,2850.0
2017-07-15,2850.0
2017-07-16,2850.0
2017-07-17,2850.0
2017-07-18,2900.0
2017-07-19,2900.0
2017-07-20,3000.0
2017-07-21,3000.0
2017-07-22,3000.0
2017-07-23,3000.0
2017-07-24,3000.0
2017-07-25,3000.0
2017-07-26,3000.0
2017-07-27,2900.0
2017-07-28,2900.0
2017-07-29,2900.0
2017-07-30,2900.0
2017-07-31,3000.0
2017-08-01,3000.0
2017-08-02,3000.0
2017-08-03,3000.0
2017-08-04,3000.0
2017-08-05,3000.0
2017-08-06,3000.0
2017-08-07,3100.0
2017-08-08,3100.0
2017-08-09,3100.0
2017-08-10,3100.0
2017-08-11,3100.0
2017-08-12,3100.0
2017-08-13,3100.0
2017-08-14,3100.0
2017-08-15,3100.0
2017-08-16,3000.0
2017-08-17,3000.0
2017-08-18,3000.0
2017-08-19,3000.0
2017-08-20,3000.0
2017-08-21,3200.0
2017-08-22,3200.0
2017-08-23,3200.0
2017-08-24,3100.0
2017-08-25,3100.0
2017-08-26,3100.0
2017-08-27,3100.0
2017-08-28,3100.0
2017-08-29,3000.0
2017-08-30,3000.0
2017-08-31,3000.0
2017-09-01,3000.0
2017-09-02,3000.0
2017-09-03,3000.0
2017-09-04,3000.0
2017-09-05,3000.0
2017-09-06,3000.0
2017-09-07,3100.0
2017-09-08,3100.0
2017-09-09,3100.0
2017-09-10,3100.0
2017-09-11,3100.0
2017-09-12,3100.0
2017-09-13,3100.0
2017-09-14,3100.0
2017-09-15,3100.0
2017-09-16,3100.0
2017-09-17,3100.0
2017-09-18,3100.0
2017-09-19,3100.0
2017-09-20,3100.0
2017-09-21,3100.0
2017-09-22,3100.0
2017-09-23,3100.0
2017-09-24,3100.0
2017-09-25,3100.0
2017-09-26,3100.0
2017-09-27,3100.0
2017-09-28,3100.0
2017-09-29,3100.0
2017-09-30,3100.0
2017-10-01,3100.0
2017-10-02,3100.0
2017-10-03,3100.0
2017-10-04,3100.0
2017-10-05,3100.0
2017-10-06,3100.0
2017-10-07,3100.0
2017-10-08,3100.0
2017-10-09,3100.0
2017-10-10,3100.0
2017-10-11,3100.0
2017-10-12,3100.0
2017-10-13,3100.0
2017-10-14,3100.0
2017-10-15,3100.0
2017-10-16,3200.0
2017-10-17,3200.0
2017-10-18,3200.0
2017-10-19,3200.0
2017-10-20,3200.0
2017-10-21,3200.0
2017-10-22,3200.0
2017-10-23,3200.0
2017-10-24,3200.0
2017-10-25,3200.0
2017-10-26,3200.0
2017-10-27,3200.0
2017-10-28,3200.0
2017-10-29,3200.0
2017-10-30,3200.0
2017-10-31,3200.0
2017-11-01,3200.0
2017-11-02,3300.0
2017-11-03,3300.0
2017-11-04,3300.0
