<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:e7edfcddb17d43a2074aa3e5cc7db38497b7b8cc187df4fcbe9045c155def8f6
size 19215
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO
2016-01-01,2016-02-13,,,Normal,7.984031936127744
2016-01-08,2016-02-20,,,Anomaly,6.986027944111776
2016-01-15,2016-02-27,,,Normal,3.992015968063872
2016-01-22,2016-03-05,,,Normal,2.464185552914041
2016-01-29,2016-03-12,,,Normal,1.5991273266932875
2016-02-01,2016-03-15,Anomaly,,Normal,1.5968063872255491
2016-02-08,2016-03-22,Anomaly,,Normal,1.5968063872255491
2016-02-15,2016-03-29,Anomaly,,Normal,1.5968063872255491
2016-02-22,2016-04-05,Anomaly,,Normal,1.5968063872255491
2016-02-29,2016-04-12,Normal,,Normal,1.6966067864271457
2016-03-07,2016-04-19,Normal,,Normal,2.1876247504510977
2016-03-14,2016-04-26,Normal,,Normal,2.2089155022843197
2016-03-21,2016-05-03,Normal,,Normal,3.5650623885918
2016-03-28,2016-05-10,Normal,,Normal,4.3029259896729775
2016-04-04,2016-05-17,Normal,,Normal,5.376344086021504
2016-04-11,2016-05-24,Normal,,Normal,5.873715124816448
2016-04-18,2016-05-31,Anomaly,,Normal,4.439511653718091
2016-04-25,2016-06-07,Anomaly,,Normal,4.195804195804196
2016-05-02,2016-06-14,Anomaly,,Normal,3.6642238507661564
2016-05-09,2016-06-21,Anomaly,,Normal,2.5163307323014448
2016-05-16,2016-06-28,Anomaly,,Normal,2.2071431177456757
2016-05-23,2016-07-05,Normal,,Normal,2.2907122032486464
2016-05-30,2016-07-12,Normal,,Normal,2.7486256871564216
2016-06-06,2016-07-19,Normal,,Normal,3.6642238507661564
2016-06-13,2016-07-26,Normal,,Normal,4.995458673932788
2016-06-20,2016-08-02,Normal,,Normal,11.976047904191615
2016-06-27,2016-08-09,Anomaly,,Normal,11.976047904191615
2016-07-04,2016-08-16,Anomaly,,Normal,11.976047904191615
