<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4eae94883e5beeead7f930a9b6bcbef50fd25b21d3a5f8939a1627c33bf1bab6
size 15087
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO
2016-01-01,2016-02-13,,,Normal,1.112076455256299
2016-01-08,2016-02-20,,,Normal,1.131741821396994
2016-01-15,2016-02-27,,,Normal,1.2438785504407444
2016-01-22,2016-03-05,,,Normal,1.432649071131184
2016-01-29,2016-03-12,,,Normal,1.5101070154577882
2016-02-01,2016-03-15,Normal,,Normal,1.5468940316686968
2016-02-08,2016-03-22,Normal,,Normal,1.5043695380774031
2016-02-15,2016-03-29,Normal,,Normal,1.4731585518102372
2016-02-22,2016-04-05,Normal,,Normal,1.4481897627965044
2016-02-29,2016-04-12,Normal,,Normal,1.2484394506866416
2016-03-07,2016-04-19,Normal,,Normal,1.3721435162315418
2016-03-14,2016-04-26,Normal,,Normal,1.3721435162315418
2016-03-21,2016-05-03,Normal,,Normal,1.355224360667651
2016-03-28,2016-05-10,Normal,,Normal,1.2915240381920858
2016-04-04,2016-05-17,Normal,,Normal,1.1557170941130022
2016-04-11,2016-05-24,Normal,,Normal,1.2064620817798737
2016-04-18,2016-05-31,Normal,,Normal,1.2265745092901954
2016-04-25,2016-06-07,Normal,,Normal,1.3607990012484394
2016-05-02,2016-06-14,Normal,,Normal,1.3956466069142126
2016-05-09,2016-06-21,Normal,,Normal,1.3444302176696543
2016-05-16,2016-06-28,Normal,,Normal,1.318822023047375
2016-05-23,2016-07-05,Normal,,Normal,1.2548015364916774
2016-05-30,2016-07-12,Normal,,Normal,1.2548015364916774
2016-06-06,2016-07-19,Normal,,Normal,1.2548015364916774
2016-06-13,2016-07-26,Normal,,Normal,1.3060179257362357
2016-06-20,2016-08-02,Normal,,Normal,1.2338425381903644
2016-06-27,2016-08-09,Normal,,Normal,1.1653718091009988
2016-07-04,2016-08-16,Normal,,Normal,1.1653718091009988
2016-07-11,2016-08-23,Normal,,Normal,1.1525795828759604
2016-07-18,2016-08-30,Normal,,Normal,1.1525795828759604
2016-07-25,2016-09-06,Normal,,Normal,1.1784511784511784
