<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:75690f15938a8dc83ad07134f37a436051a08d23aede9f398016b24322005aa5
size 31589
=======
DATE,ARRIVAL
2016-01-01,220.0
2016-01-02,230.0
2016-01-03,210.0
2016-01-04,250.0
2016-01-05,280.0
2016-01-06,320.0
2016-01-07,360.0
2016-01-08,390.0
2016-01-09,300.0
2016-01-10,270.0
2016-01-11,420.0
2016-01-12,280.0
2016-01-13,320.0
2016-01-14,332.0847257201885
2016-01-15,340.0
2016-01-16,300.0
2016-01-17,280.0
2016-01-18,360.0
2016-01-19,320.0
2016-01-20,340.0
2016-01-21,250.0
2016-01-22,270.0
2016-01-23,290.0
2016-01-24,350.0
2016-01-25,380.0
2016-01-26,350.0
2016-01-27,320.0
2016-01-28,360.0
2016-01-29,250.0
2016-01-30,280.0
2016-01-31,330.0
2016-02-01,350.0
2016-02-02,450.0
2016-02-03,500.0
2016-02-04,340.0
2016-02-05,370.0
2016-02-06,390.0
2016-02-07,350.0
2016-02-08,370.0
2016-02-09,420.0
2016-02-10,280.0
2016-02-11,320.0
2016-02-12,285.0
2016-02-13,262.8207593746173
2016-02-14,250.0
2016-02-15,260.0
2016-02-16,200.0
2016-02-17,227.5
2016-02-18,200.0
2016-02-19,180.0
2016-02-20,165.0
2016-02-21,220.0
2016-02-22,270.0
2016-02-23,230.0
2016-02-24,200.0
2016-02-25,260.0
2016-02-26,270.0
2016-02-27,230.0
2016-02-28,275.0
2016-02-29,320.0
2016-03-01,300.0
2016-03-02,286.0
2016-03-03,300.0
2016-03-04,320.0
2016-03-05,300.0
2016-03-06,200.0
2016-03-07,185.0
2016-03-08,180.0
2016-03-09,190.0
2016-03-10,185.0
2016-03-11,180.0
2016-03-12,230.0
2016-03-13,220.0
2016-03-14,195.0
2016-03-15,240.0
2016-03-16,230.0
2016-03-17,250.0
2016-03-18,220.0
2016-03-19,230.0
2016-03-20,185.0
2016-03-21,320.0
2016-03-22,320.0
2016-03-23,301.48170908250665
2016-03-24,254.22043066897132
2016-03-25,193.86585342497642
2016-03-26,141.96023412292973
2016-03-27,129.0
2016-03-28,230.0
2016-03-29,209.0
2016-03-30,200.0
2016-03-31,211.0
2016-04-01,216.5
2016-04-02,220.0
2016-04-03,223.9748758377782
2016-04-04,228.72952333076333
2016-04-05,235.0
2016-04-06,250.0
2016-04-07,225.0
2016-04-08,222.5
2016-04-09,220.0
2016-04-10,200.0
2016-04-11,200.0
2016-04-12,180.0
2016-04-13,160.0
