<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:183e412a859565606cd2b285e4dd80977cad33aece3cfe66159fa2e87e006862
size 40704
=======
DATE,ARRIVAL
2016-01-01,1.5
2016-01-02,1.5
2016-01-03,1.6666666666666667
2016-01-04,1.6666666666666667
2016-01-05,1.625
2016-01-06,1.4
2016-01-07,1.3333333333333333
2016-01-08,1.3333333333333333
2016-01-09,1.3
2016-01-10,1.125
2016-01-11,1.125
2016-01-12,1.25
2016-01-13,1.5
2016-01-14,1.5
2016-01-15,1.375
2016-01-16,1.4
2016-01-17,1.5
2016-01-18,1.5
2016-01-19,1.3333333333333333
2016-01-20,1.3333333333333333
2016-01-21,1.5
2016-01-22,1.6666666666666667
2016-01-23,1.8333333333333333
2016-01-24,1.6666666666666667
2016-01-25,1.6666666666666667
2016-01-26,1.8
2016-01-27,1.7
2016-01-28,1.6
2016-01-29,1.8
2016-01-30,1.8
2016-01-31,2.0
2016-02-01,2.0
2016-02-02,2.1
2016-02-03,2.3
2016-02-04,2.5
2016-02-05,2.4
2016-02-06,2.3
2016-02-07,2.3333333333333335
2016-02-08,2.3333333333333335
2016-02-09,2.4166666666666665
2016-02-10,2.75
2016-02-11,2.9166666666666665
2016-02-12,3.0
2016-02-13,3.3
2016-02-14,3.4
2016-02-15,3.4
2016-02-16,3.5
2016-02-17,3.4
2016-02-18,3.3
2016-02-19,3.25
2016-02-20,3.25
2016-02-21,3.4166666666666665
2016-02-22,3.4166666666666665
2016-02-23,3.5
2016-02-24,3.5
2016-02-25,3.6666666666666665
2016-02-26,3.5833333333333335
2016-02-27,3.5
2016-02-28,3.4
2016-02-29,3.4
2016-03-01,3.4
2016-03-02,3.1
2016-03-03,2.8
2016-03-04,2.8
2016-03-05,2.8
2016-03-06,2.6666666666666665
2016-03-07,2.6666666666666665
2016-03-08,2.4166666666666665
2016-03-09,2.5
2016-03-10,2.5833333333333335
2016-03-11,2.75
2016-03-12,2.8333333333333335
2016-03-13,2.6666666666666665
2016-03-14,2.6666666666666665
2016-03-15,2.8333333333333335
2016-03-16,2.9166666666666665
2016-03-17,2.9166666666666665
2016-03-18,2.6666666666666665
2016-03-19,2.5833333333333335
2016-03-20,2.75
2016-03-21,2.75
2016-03-22,2.5
2016-03-23,2.4
2016-03-24,2.25
2016-03-25,2.25
2016-03-26,2.125
2016-03-27,2.0
2016-03-28,2.0
2016-03-29,1.875
2016-03-30,2.0
2016-03-31,2.0
2016-04-01,2.0
2016-04-02,2.0
2016-04-03,2.1
2016-04-04,2.1
2016-04-05,2.3
2016-04-06,2.4
2016-04-07,2.7
2016-04-08,2.7
2016-04-09,2.7
2016-04-10,2.4166666666666665
2016-04-11,2.4166666666666665
2016-04-12,2.25
2016-04-13,2.1666666666666665
2016-04-14,2.0
2016-04-15,2.1666666666666665
2016-04-16,2.3333333333333335
2016-04-17,2.6666666666666665
2016-04-18,2.6666666666666665
2016-04-19,2.9166666666666665
2016-04-20,3.0833333333333335
2016-04-21,3.0
2016-04-22,3.0
2016-04-23,2.9166666666666665
2016-04-24,3.0833333333333335
2016-04-25,3.0833333333333335
2016-04-26,3.1666666666666665
2016-04-27,3.0833333333333335
2016-04-28,3.0833333333333335
2016-04-29,3.0
2016-04-30,3.0
2016-05-01,2.75
2016-05-02,2.75
2016-05-03,2.5
2016-05-04,2.25
2016-05-05,2.0833333333333335
2016-05-06,2.1666666666666665
2016-05-07,2.0
2016-05-08,1.8333333333333333
2016-05-09,1.8333333333333333
2016-05-10,1.6666666666666667
2016-05-11,1.5833333333333333
2016-05-12,1.8333333333333333
2016-05-13,1.75
2016-05-14,1.75
2016-05-15,1.75
2016-05-16,1.75
2016-05-17,1.9166666666666667
2016-05-18,2.0833333333333335
2016-05-19,2.0833333333333335
2016-05-20,1.8333333333333333
2016-05-21,1.6666666666666667
2016-05-22,1.5833333333333333
2016-05-23,1.5833333333333333
2016-05-24,1.4166666666666667
2016-05-25,1.3333333333333333
2016-05-26,1.0833333333333333
2016-05-27,1.0833333333333333
2016-05-28,1.1666666666666667
2016-05-29,1.2
2016-05-30,1.1666666666666667
2016-05-31,1.1666666666666667
2016-06-01,1.0833333333333333
2016-06-02,1.0833333333333333
2016-06-03,1.0833333333333333
2016-06-04,1.1666666666666667
2016-06-05,1.1666666666666667
2016-06-06,1.2
2016-06-07,1.2
2016-06-08,1.2
2016-06-09,1.3
2016-06-10,1.375
2016-06-11,1.125
2016-06-12,1.1
2016-06-13,1.1
2016-06-14,1.1
2016-06-15,1.1
2016-06-16,1.0
2016-06-17,1.0
2016-06-18,1.0833333333333333
2016-06-19,1.0833333333333333
2016-06-20,1.0833333333333333
2016-06-21,1.1666666666666667
2016-06-22,1.1666666666666667
2016-06-23,1.1666666666666667
2016-06-24,1.1666666666666667
2016-06-25,1.0833333333333333
2016-06-26,1.0833333333333333
2016-06-27,1.0833333333333333
2016-06-28,1.0
2016-06-29,1.0
2016-06-30,1.0
2016-07-01,1.0833333333333333
2016-07-02,1.0833333333333333
2016-07-03,1.3333333333333333
2016-07-04,1.3333333333333333
2016-07-05,1.5
2016-07-06,1.5
2016-07-07,1.5
2016-07-08,1.4166666666666667
2016-07-09,1.4166666666666667
2016-07-10,1.3333333333333333
2016-07-11,1.3333333333333333
2016-07-12,1.25
2016-07-13,1.25
2016-07-14,1.5
2016-07-15,1.6666666666666667
2016-07-16,1.75
2016-07-17,1.75
2016-07-18,1.75
2016-07-19,1.9166666666666667
2016-07-20,2.0833333333333335
2016-07-21,1.9166666666666667
2016-07-22,1.9166666666666667
2016-07-23,1.9166666666666667
2016-07-24,1.9
2016-07-25,1.9166666666666667
2016-07-26,1.9166666666666667
2016-07-27,2.0833333333333335
2016-07-28,2.3333333333333335
2016-07-29,2.5
2016-07-30,2.5
2016-07-31,2.4285714285714284
2016-08-01,2.5
2016-08-02,2.3333333333333335
2016-08-03,2.1666666666666665
2016-08-04,2.0
2016-08-05,1.75
2016-08-06,1.8333333333333333
2016-08-07,1.75
2016-08-08,1.75
2016-08-09,1.8333333333333333
2016-08-10,1.9166666666666667
2016-08-11,1.9166666666666667
2016-08-12,5.833333333333333
2016-08-13,5.916666666666667
2016-08-14,6.083333333333333
2016-08-15,6.083333333333333
2016-08-16,6.25
2016-08-17,6.166666666666667
2016-08-18,6.333333333333333
2016-08-19,2.5833333333333335
2016-08-20,2.4166666666666665
2016-08-21,2.4
2016-08-22,2.4
2016-08-23,2.25
2016-08-24,2.3333333333333335
2016-08-25,2.0
2016-08-26,1.8333333333333333
2016-08-27,1.6666666666666667
2016-08-28,1.75
2016-08-29,1.75
2016-08-30,1.9
2016-08-31,1.9166666666666667
2016-09-01,2.0
2016-09-02,2.1666666666666665
2016-09-03,2.4166666666666665
2016-09-04,2.4166666666666665
2016-09-05,2.4166666666666665
2016-09-06,2.4166666666666665
2016-09-07,2.5
2016-09-08,2.3
2016-09-09,2.1
2016-09-10,2.0
2016-09-11,1.8
2016-09-12,1.8
2016-09-13,1.7
2016-09-14,1.6666666666666667
2016-09-15,1.75
2016-09-16,1.5833333333333333
2016-09-17,1.4166666666666667
2016-09-18,1.5
2016-09-19,1.5
2016-09-20,1.3333333333333333
2016-09-21,1.3
2016-09-22,1.2
2016-09-23,1.5
2016-09-24,1.625
2016-09-25,1.6666666666666667
2016-09-26,1.6666666666666667
2016-09-27,2.0
2016-09-28,1.875
2016-09-29,1.75
2016-09-30,1.375
2016-10-01,1.375
2016-10-02,1.375
2016-10-03,1.375
2016-10-04,1.125
2016-10-05,1.0
2016-10-06,1.125
2016-10-07,1.125
2016-10-08,1.3
2016-10-09,1.3333333333333333
2016-10-10,1.3333333333333333
2016-10-11,1.3333333333333333
2016-10-12,1.4166666666666667
2016-10-13,1.4166666666666667
2016-10-14,1.4166666666666667
2016-10-15,1.3333333333333333
2016-10-16,1.25
2016-10-17,1.2142857142857142
2016-10-18,1.2857142857142858
2016-10-19,1.2142857142857142
2016-10-20,1.2142857142857142
2016-10-21,1.3571428571428572
2016-10-22,1.4285714285714286
2016-10-23,1.5
2016-10-24,1.5833333333333333
2016-10-25,1.5
2016-10-26,1.5833333333333333
2016-10-27,1.5833333333333333
2016-10-28,1.5
2016-10-29,1.3
2016-10-30,1.3
2016-10-31,1.3
2016-11-01,1.3
2016-11-02,1.2
2016-11-03,1.2
2016-11-04,1.1666666666666667
2016-11-05,1.1666666666666667
2016-11-06,1.1666666666666667
2016-11-07,1.1666666666666667
2016-11-08,1.25
2016-11-09,1.4166666666666667
2016-11-10,1.4166666666666667
2016-11-11,1.4166666666666667
2016-11-12,1.5
2016-11-13,1.5833333333333333
2016-11-14,1.5833333333333333
2016-11-15,1.5833333333333333
2016-11-16,1.4166666666666667
2016-11-17,1.4166666666666667
2016-11-18,1.5
2016-11-19,1.4
2016-11-20,1.2
2016-11-21,1.2
2016-11-22,1.1
2016-11-23,1.1
2016-11-24,1.1
2016-11-25,1.0833333333333333
2016-11-26,1.1666666666666667
2016-11-27,1.1666666666666667
2016-11-28,1.1666666666666667
2016-11-29,1.1666666666666667
2016-11-30,1.1666666666666667
2016-12-01,1.1666666666666667
2016-12-02,1.25
2016-12-03,1.3333333333333333
2016-12-04,1.4
2016-12-05,1.4
2016-12-06,1.5
2016-12-07,1.6
2016-12-08,1.625
2016-12-09,1.875
2016-12-10,1.625
2016-12-11,1.6
2016-12-12,1.6
2016-12-13,1.8
2016-12-14,1.9
2016-12-15,1.8333333333333333
2016-12-16,1.8333333333333333
2016-12-17,2.0833333333333335
2016-12-18,2.25
2016-12-19,2.25
2016-12-20,2.25
2016-12-21,2.1666666666666665
2016-12-22,2.1666666666666665
2016-12-23,2.0
2016-12-24,1.75
2016-12-25,1.5833333333333333
2016-12-26,1.5833333333333333
2016-12-27,1.3333333333333333
2016-12-28,1.3333333333333333
2016-12-29,1.25
2016-12-30,1.25
2016-12-31,1.25
2017-01-01,1.2
2017-01-02,1.2
2017-01-03,1.3
2017-01-04,1.2
2017-01-05,1.3
2017-01-06,1.2
2017-01-07,1.4
2017-01-08,1.4166666666666667
2017-01-09,2.0
2017-01-10,2.0714285714285716
2017-01-11,2.2142857142857144
2017-01-12,2.142857142857143
2017-01-13,2.3333333333333335
2017-01-14,2.1666666666666665
2017-01-15,2.1666666666666665
2017-01-16,1.5
2017-01-17,1.3
2017-01-18,1.1
2017-01-19,1.2
2017-01-20,1.2
2017-01-21,1.25
2017-01-22,1.1666666666666667
2017-01-23,1.1666666666666667
2017-01-24,1.3333333333333333
2017-01-25,1.3333333333333333
2017-01-26,1.25
2017-01-27,1.3333333333333333
2017-01-28,1.5
2017-01-29,1.4
2017-01-30,1.4
2017-01-31,1.5
2017-02-01,1.625
2017-02-02,1.5
2017-02-03,1.4
2017-02-04,1.4
2017-02-05,1.5
2017-02-06,1.5
2017-02-07,1.5
2017-02-08,1.5
2017-02-09,1.6666666666666667
2017-02-10,1.75
2017-02-11,1.5833333333333333
2017-02-12,1.6666666666666667
2017-02-13,1.6666666666666667
2017-02-14,1.5833333333333333
2017-02-15,1.6666666666666667
2017-02-16,1.75
2017-02-17,1.75
2017-02-18,1.9
2017-02-19,1.9
2017-02-20,1.9
2017-02-21,2.1
2017-02-22,2.1
2017-02-23,1.9
2017-02-24,2.0
2017-02-25,2.0
2017-02-26,2.0833333333333335
2017-02-27,2.0833333333333335
2017-02-28,2.0
2017-03-01,2.0833333333333335
2017-03-02,2.25
2017-03-03,2.25
2017-03-04,2.25
2017-03-05,2.0833333333333335
2017-03-06,2.0833333333333335
2017-03-07,1.9166666666666667
2017-03-08,1.6666666666666667
2017-03-09,1.5
2017-03-10,1.4166666666666667
2017-03-11,1.4166666666666667
2017-03-12,1.4166666666666667
2017-03-13,1.4166666666666667
2017-03-14,1.4166666666666667
2017-03-15,1.4166666666666667
2017-03-16,1.3333333333333333
2017-03-17,1.25
2017-03-18,1.1666666666666667
2017-03-19,1.0833333333333333
2017-03-20,1.0833333333333333
2017-03-21,1.25
2017-03-22,1.3333333333333333
2017-03-23,1.3333333333333333
2017-03-24,1.4166666666666667
2017-03-25,1.3333333333333333
2017-03-26,1.4166666666666667
2017-03-27,1.4166666666666667
2017-03-28,1.4166666666666667
2017-03-29,1.4166666666666667
2017-03-30,1.5
2017-03-31,1.4166666666666667
2017-04-01,1.4166666666666667
2017-04-02,1.3333333333333333
2017-04-03,1.3333333333333333
2017-04-04,1.1666666666666667
2017-04-05,1.25
2017-04-06,1.1666666666666667
2017-04-07,1.25
2017-04-08,1.3333333333333333
2017-04-09,1.3333333333333333
2017-04-10,1.3333333333333333
2017-04-11,1.4166666666666667
2017-04-12,1.3333333333333333
2017-04-13,1.3333333333333333
2017-04-14,1.4166666666666667
2017-04-15,1.3333333333333333
2017-04-16,1.3333333333333333
2017-04-17,1.3333333333333333
2017-04-18,1.3333333333333333
2017-04-19,1.25
2017-04-20,1.3333333333333333
2017-04-21,1.1666666666666667
2017-04-22,1.1666666666666667
2017-04-23,1.3333333333333333
2017-04-24,1.3333333333333333
2017-04-25,1.3333333333333333
2017-04-26,1.4166666666666667
2017-04-27,1.3333333333333333
2017-04-28,1.5
2017-04-29,1.75
2017-04-30,1.75
2017-05-01,1.75
2017-05-02,1.6666666666666667
2017-05-03,1.6666666666666667
2017-05-04,1.6666666666666667
2017-05-05,1.5833333333333333
2017-05-06,1.3333333333333333
2017-05-07,1.2
2017-05-08,1.1666666666666667
2017-05-09,1.25
2017-05-10,1.2
2017-05-11,1.25
2017-05-12,1.1666666666666667
2017-05-13,1.3333333333333333
2017-05-14,1.25
2017-05-15,1.3333333333333333
2017-05-16,1.3333333333333333
2017-05-17,1.75
2017-05-18,1.7
2017-05-19,1.5833333333333333
2017-05-20,1.6666666666666667
2017-05-21,1.6666666666666667
2017-05-22,1.6666666666666667
2017-05-23,1.75
2017-05-24,1.4166666666666667
2017-05-25,1.5
2017-05-26,1.5
2017-05-27,1.4166666666666667
2017-05-28,1.5
2017-05-29,1.5
2017-05-30,1.5
2017-05-31,1.75
2017-06-01,1.5833333333333333
2017-06-02,1.6666666666666667
2017-06-03,1.75
2017-06-04,1.8
2017-06-05,1.75
2017-06-06,1.5833333333333333
2017-06-07,1.5
2017-06-08,1.5
2017-06-09,1.5
2017-06-10,1.3333333333333333
2017-06-11,1.2857142857142858
2017-06-12,1.25
2017-06-13,1.25
2017-06-14,1.1666666666666667
2017-06-15,1.25
2017-06-16,1.25
2017-06-17,1.25
2017-06-18,1.3333333333333333
2017-06-19,1.3333333333333333
2017-06-20,1.3333333333333333
2017-06-21,1.3333333333333333
2017-06-22,1.25
2017-06-23,1.25
2017-06-24,1.25
2017-06-25,1.1666666666666667
2017-06-26,1.1666666666666667
2017-06-27,1.1666666666666667
2017-06-28,1.0833333333333333
2017-06-29,1.0833333333333333
2017-06-30,1.0833333333333333
2017-07-01,1.0833333333333333
2017-07-02,1.0833333333333333
2017-07-03,1.0833333333333333
2017-07-04,1.1666666666666667
2017-07-05,1.1666666666666667
2017-07-06,1.1666666666666667
2017-07-07,1.1666666666666667
2017-07-08,1.2
2017-07-09,1.25
2017-07-10,1.25
2017-07-11,1.125
2017-07-12,1.25
2017-07-13,1.25
2017-07-14,1.125
2017-07-15,1.125
2017-07-16,1.1
2017-07-17,1.1
2017-07-18,1.1
2017-07-19,1.0
2017-07-20,1.0
2017-07-21,1.0
2017-07-22,1.0833333333333333
2017-07-23,1.0833333333333333
2017-07-24,1.0833333333333333
2017-07-25,1.0833333333333333
2017-07-26,1.5
2017-07-27,1.6
2017-07-28,1.6
2017-07-29,1.5
2017-07-30,1.5
2017-07-31,1.5
2017-08-01,1.6
2017-08-02,1.1
2017-08-03,1.1666666666666667
2017-08-04,1.25
2017-08-05,1.25
2017-08-06,1.3333333333333333
2017-08-07,1.3333333333333333
2017-08-08,1.25
2017-08-09,1.3333333333333333
2017-08-10,1.25
2017-08-11,1.25
2017-08-12,1.3333333333333333
2017-08-13,1.3333333333333333
2017-08-14,1.3333333333333333
2017-08-15,1.4
2017-08-16,1.3
2017-08-17,1.3
2017-08-18,1.3
2017-08-19,1.3
2017-08-20,1.3
2017-08-21,1.3
2017-08-22,1.3333333333333333
2017-08-23,1.4166666666666667
2017-08-24,1.4166666666666667
2017-08-25,1.4166666666666667
2017-08-26,1.4166666666666667
2017-08-27,1.3333333333333333
2017-08-28,1.3333333333333333
2017-08-29,1.3333333333333333
2017-08-30,1.3333333333333333
2017-08-31,1.4166666666666667
2017-09-01,1.4166666666666667
2017-09-02,1.4166666666666667
2017-09-03,1.4166666666666667
2017-09-04,1.4166666666666667
2017-09-05,1.4166666666666667
2017-09-06,1.5
2017-09-07,1.5
2017-09-08,1.5
2017-09-09,1.4166666666666667
2017-09-10,1.5
2017-09-11,1.5
2017-09-12,1.4166666666666667
2017-09-13,1.25
2017-09-14,1.25
2017-09-15,1.25
2017-09-16,1.3333333333333333
2017-09-17,1.4166666666666667
2017-09-18,1.4166666666666667
2017-09-19,1.5
2017-09-20,1.5
2017-09-21,1.5
2017-09-22,1.5
2017-09-23,1.4166666666666667
2017-09-24,1.3333333333333333
2017-09-25,1.3333333333333333
2017-09-26,1.25
2017-09-27,1.3333333333333333
2017-09-28,1.3333333333333333
2017-09-29,1.3333333333333333
2017-09-30,1.3333333333333333
2017-10-01,1.5
2017-10-02,1.5
2017-10-03,1.75
2017-10-04,1.75
2017-10-05,1.6666666666666667
2017-10-06,1.5833333333333333
2017-10-07,1.5833333333333333
2017-10-08,1.4166666666666667
2017-10-09,1.4166666666666667
2017-10-10,1.1666666666666667
2017-10-11,1.0
2017-10-12,1.1666666666666667
2017-10-13,1.0833333333333333
2017-10-14,1.25
2017-10-15,1.8333333333333333
2017-10-16,1.8333333333333333
2017-10-17,2.1666666666666665
2017-10-18,2.5833333333333335
2017-10-19,2.6666666666666665
2017-10-20,3.1
2017-10-21,3.0
2017-10-22,2.4
2017-10-23,2.4
2017-10-24,2.2
2017-10-25,1.9
2017-10-26,2.2
2017-10-27,2.3333333333333335
2017-10-28,2.4166666666666665
2017-10-29,3.0833333333333335
2017-10-30,3.0833333333333335
2017-10-31,3.0833333333333335
2017-11-01,3.0833333333333335
2017-11-02,2.9166666666666665
2017-11-03,2.75
2017-11-04,2.8333333333333335
2017-11-05,2.5833333333333335
2017-11-06,2.5833333333333335
2017-11-07,2.5833333333333335
2017-11-08,3.3333333333333335
2017-11-09,4.083333333333333
2017-11-10,4.75
2017-11-11,4.666666666666667
2017-11-12,4.583333333333333
2017-11-13,4.583333333333333
2017-11-14,4.416666666666667
2017-11-15,3.8333333333333335
2017-11-16,3.5833333333333335
2017-11-17,2.9166666666666665
2017-11-18,3.9166666666666665
2017-11-19,4.0
2017-11-20,4.0
2017-11-21,4.166666666666667
2017-11-22,4.75
2017-11-23,5.166666666666667
