<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:e0ae791e035ef1fc6c5695f6186eb886ddc54af8115282000e3c9688b2630bdc
size 13670
=======
STARTDATE,ENDDATE,MEDIAN,MAD,VALUE,TYPE
2016-01-01,2016-02-13,,,,
2016-01-08,2016-02-20,,,,
2016-01-15,2016-02-27,,,,
2016-01-22,2016-03-05,,,,
2016-01-29,2016-03-12,,,,
2016-02-05,2016-03-19,,,,
2016-02-12,2016-03-26,,,,
2016-02-19,2016-04-02,,,,
2016-02-26,2016-04-09,,,,
2016-03-04,2016-04-16,,,,
2016-03-11,2016-04-23,,,,
2016-03-18,2016-04-30,,,,
2016-03-25,2016-05-07,,,,
2016-04-01,2016-05-14,,,,
2016-04-08,2016-05-21,,,,
2016-04-15,2016-05-28,,,,
2016-04-22,2016-06-04,,,,
2016-04-29,2016-06-11,,,,
2016-05-06,2016-06-18,,,,
2016-05-13,2016-06-25,,,,
2016-05-20,2016-07-02,,,,
2016-05-27,2016-07-09,,,,
2016-06-03,2016-07-16,,,,
2016-06-10,2016-07-23,,,,
2016-06-17,2016-07-30,,,,
2016-06-24,2016-08-06,,,,
2016-07-01,2016-08-13,,,,
2016-07-08,2016-08-20,,,,
2016-07-15,2016-08-27,,,,
2016-07-22,2016-09-03,,,,
2016-07-29,2016-09-10,,,,
2016-08-05,2016-09-17,,,,
2016-08-12,2016-09-24,,,,
2016-08-19,2016-10-01,,,,
2016-08-26,2016-10-08,,,,
2016-09-02,2016-10-15,,,,
2016-09-09,2016-10-22,,,,
2016-09-16,2016-10-29,,,,
2016-09-23,2016-11-05,,,,
2016-09-30,2016-11-12,,,,
2016-10-07,2016-11-19,,,,
2016-10-14,2016-11-26,,,,
2016-10-21,2016-12-03,,,,
2016-10-28,2016-12-10,,,,
2016-11-04,2016-12-17,,,,
2016-11-11,2016-12-24,,,,
2016-11-18,2016-12-31,,,,
2016-11-25,2017-01-07,,,,
2016-12-02,2017-01-14,,,,
2016-12-09,2017-01-21,,,,
2016-12-16,2017-01-28,,,,
2016-12-23,2017-02-04,,,,
2016-12-30,2017-02-11,,,,
2017-01-01,2017-02-13,800.0,241.78922677859464,460.0,Normal
2017-01-08,2017-02-20,800.0,244.85751168875373,455.0,Normal
2017-01-15,2017-02-27,787.4023441482545,230.57960160222308,455.0,Normal
2017-01-22,2017-03-06,787.8823621429308,215.91266599722022,460.0,Normal
2017-01-29,2017-03-13,800.0,181.99571637141617,460.0,Normal
2017-02-05,2017-03-20,850.0,185.79008153728006,460.0,Normal
2017-02-12,2017-03-27,910.8796298696845,205.29020561731122,462.5,Normal
2017-02-19,2017-04-03,951.8789018229463,239.89447848515454,465.0,Normal
2017-02-26,2017-04-10,1000.0,294.9633865760391,465.0,Normal
2017-03-05,2017-04-17,1000.0,315.92462997640956,468.96551882679114,Normal
2017-03-12,2017-04-24,1000.0,323.4575605406207,470.0,Normal
2017-03-19,2017-05-01,1050.0,332.45193971354536,480.0,Normal
2017-03-26,2017-05-08,1127.272727735537,315.26601963517516,485.0,Normal
