<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:a978a1fc199a52d28f38311d711c38204482c6a93d7d2ce3c721e93f26a33f17
size 60263
=======
DATE,PRICE
2016-01-01,700.0
2016-01-02,700.0
2016-01-03,700.0
2016-01-04,680.0
2016-01-05,680.0
2016-01-06,700.0
2016-01-07,690.0
2016-01-08,700.0
2016-01-09,700.0
2016-01-10,700.0
2016-01-11,710.0
2016-01-12,690.0
2016-01-13,695.0
2016-01-14,700.0
2016-01-15,700.0
2016-01-16,700.0
2016-01-17,710.0
2016-01-18,720.0
2016-01-19,700.0
2016-01-20,700.0
2016-01-21,700.0
2016-01-22,700.0
2016-01-23,700.0
2016-01-24,700.0
2016-01-25,770.0
2016-01-26,767.9333333259734
2016-01-27,759.1134751752226
2016-01-28,750.0
2016-01-29,740.0
2016-01-30,750.0
2016-01-31,750.0
2016-02-01,826.9932406666588
2016-02-02,965.0
2016-02-03,1100.0304899032385
2016-02-04,1180.0
2016-02-05,1200.0
2016-02-06,1200.0
2016-02-07,1000.0
2016-02-08,1000.0
2016-02-09,1000.0
2016-02-10,1000.0
2016-02-11,1000.0
2016-02-12,1000.0
2016-02-13,800.0
2016-02-14,800.0
2016-02-15,800.0
2016-02-16,800.0
2016-02-17,810.0
2016-02-18,800.0
2016-02-19,800.0
2016-02-20,800.0
2016-02-21,800.0
2016-02-22,800.0
2016-02-23,800.0
2016-02-24,800.0
2016-02-25,800.0
2016-02-26,800.0
2016-02-27,800.0
2016-02-28,750.0
2016-02-29,800.0
2016-03-01,750.0
2016-03-02,750.0
2016-03-03,750.0
2016-03-04,762.49999998125
2016-03-05,780.0
2016-03-06,800.0
2016-03-07,800.0
2016-03-08,800.0
2016-03-09,800.0
2016-03-10,800.0
2016-03-11,810.0
2016-03-12,800.0
2016-03-13,800.0
2016-03-14,800.0
2016-03-15,800.0
2016-03-16,785.7142834467143
2016-03-17,764.1025667324102
2016-03-18,750.0
2016-03-19,750.0
2016-03-20,775.0
2016-03-21,800.0
2016-03-22,750.0
2016-03-23,700.0
2016-03-24,668.7499999765625
2016-03-25,650.0
2016-03-26,640.0
2016-03-27,640.0
2016-03-28,610.0
2016-03-29,615.0
2016-03-30,610.0
2016-03-31,650.0
2016-04-01,600.0
2016-04-02,600.0
2016-04-03,600.0
2016-04-04,600.0
2016-04-05,600.0
2016-04-06,600.0
2016-04-07,700.0
2016-04-08,698.8888861234573
2016-04-09,653.7037056241423
2016-04-10,650.0
2016-04-11,700.0
2016-04-12,700.0
